Id,Designator,Package,Quantity,Designation,Supplier and ref
1,BT1,BatteryHolder_Keystone_2468_2xAAA,1,Battery,
2,"J1,J2",3.5mmJackRSpro,2,3.5mmJackRSPro,
3,SW1,slideSwitchMMP1010DxRa1,1,SW_SPDT,
4,"C1,C2,C5,C6,C7,C18,C23",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,7,10uF,
5,"C3,C4",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,0.22uF,
6,"C8,C11,C15",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,3,2200p,
7,"C9,C12,C14,C24",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,5600pF,
8,"C10,C13,C16,C20,C21,C22",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,6,0.01uF,
9,"C17,C19,C25",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,3,0.1uF,
10,"IC1,IC2",SOIC127P600X175-14N,2,MC33174DG or LM324D,
11,"R1,R3,R5,R6,R8,R9,R10,R13,R14,R15,R21,R22,R24,R25,R27,R28",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,16,22000,
12,"R2,R19,R30",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3,4700,
13,"R4,R12,R17",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3,10000,
14,"R7,R11,R16",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3,47000,
15,R18,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,2200,
16,"R26,R29",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,39000,
17,"RV1,RV2,RV3",EVM1DSX30B54,3,100k,
18,U1,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX619CSA,
19,U2,SOT-23-6,1,LM2664m6,
